Source,Target,Type,Id,Label,Weight,d2,d1
Litter Boxes In Schools Hoax,10 Agorot Controversy,Directed,2804,,1,,
Litter Boxes In Schools Hoax,1321 Lepers' Plot,Directed,2805,,1,,
Litter Boxes In Schools Hoax,1923 Great Kantō Earthquake,Directed,2806,,1,,
Litter Boxes In Schools Hoax,1951 Pont-Saint-Esprit Mass Poisoning,Directed,2807,,1,,
Litter Boxes In Schools Hoax,1967 British Flying Saucer Hoax,Directed,2808,,1,,
Litter Boxes In Schools Hoax,1986 Mozambican Tupolev Tu-134 Crash,Directed,2809,,1,,
Litter Boxes In Schools Hoax,2012 Phenomenon,Directed,2810,,1,,
Litter Boxes In Schools Hoax,2016 Turkish Coup D'État Attempt,Directed,2811,,1,,
11 September Attacks,102 Minutes That Changed America,Directed,2812,,1,,0
11 September Attacks,1978 United States House Of Representatives Elections,Directed,2813,,1,,0
11 September Attacks,1982 Lebanon War,Directed,2814,,1,,0
11 September Attacks,1992 Aden Hotel Bombings,Directed,2815,,1,,0
11 September Attacks,1993 World Trade Center Bombing,Directed,2816,,1,,0
11 September Attacks,1994 Texas Gubernatorial Election,Directed,2817,,1,,0
11 September Attacks,1998 Texas Gubernatorial Election,Directed,2818,,1,,0
11 September Attacks,1998 United States Embassy Bombings,Directed,2819,,1,,0
11 September Attacks,19 January 2006 Osama Bin Laden Tape,Directed,2820,,1,,0
11 September Attacks,2000 United States Presidential Election,Directed,2821,,1,,0
11 September Attacks,2002 Bali Bombings,Directed,2822,,1,,0
11 September Attacks,2002 Marib Airstrike,Directed,2823,,1,,0
11 September Attacks,2003 Invasion Of Iraq,Directed,2824,,1,,0
11 September Attacks,2004 Madrid Train Bombings,Directed,2825,,1,,0
11 September Attacks,2004 Osama Bin Laden Video,Directed,2826,,1,,0
11 September Attacks,2004 United States Presidential Election,Directed,2827,,1,,0
11 September Attacks,2008 Danish Embassy Bombing In Islamabad,Directed,2828,,1,,0
11 September Attacks,2008 Attack On The United States Embassy In Yemen,Directed,2829,,1,,0
11 September Attacks,2009 Fort Hood Shooting,Directed,2830,,1,,0
11 September Attacks,2015 Bamako Hotel Attack,Directed,2831,,1,,0
11 September Attacks,2015 San Bernardino Attack,Directed,2832,,1,,0
11 September Attacks,2016 Bamako Attack,Directed,2833,,1,,0
11 September Attacks,2016 Grand-Bassam Shootings,Directed,2834,,1,,0
11 September Attacks,2016 Ouagadougou Attacks,Directed,2835,,1,,0
11 September Attacks,2017 Las Vegas Shooting,Directed,2836,,1,,0
11 September Attacks,20Th Hijacker,Directed,2837,,1,,0
11 September Attacks,7 July 2005 London Bombings,Directed,2838,,1,,0
11 September Attacks,7 World Trade Center (1987–2001),Directed,2839,,1,,0
11 September Attacks,9-11 (Book),Directed,2840,,1,,0
11 September Attacks,9/10: The Final Hours,Directed,2841,,1,,0
11 September Attacks,9/11: One Day In America,Directed,2842,,1,,0
11 September Attacks,9/11 Commission,Directed,2843,,1,,0
11 September Attacks,9/11 Conspiracy Theories,Directed,2844,,1,,0
11 September Attacks,Abc News (United States),Directed,2845,,1,,0
11 September Attacks,Abdallah Bin Laden,Directed,2846,,1,,0
11 September Attacks,Abu Bakr Al-Baghdadi,Directed,2847,,1,,0
11 September Attacks,Al-Qaeda,Directed,2848,,1,,0
11 September Attacks,Allegations Of Cia Assistance To Osama Bin Laden,Directed,2849,,1,,0
11 September Attacks,American Civil Liberties Union,Directed,2850,,1,,0
11 September Attacks,American English,Directed,2851,,1,,0
11 September Attacks,American Revolution,Directed,2852,,1,,0
11 September Attacks,American Imperialism,Directed,2853,,1,,0
11 September Attacks,American Literature,Directed,2854,,1,,0
11 September Attacks,Assassination Of John F. Kennedy,Directed,2855,,1,,0
11 September Attacks,Ayman Al-Zawahiri,Directed,2856,,1,,0
11 September Attacks,Bbc News,Directed,2857,,1,,0
11 September Attacks,Barack Obama,Directed,2858,,1,,0
11 September Attacks,Cia,Directed,2859,,1,,0
11 September Attacks,Cold War,Directed,2860,,1,,0
11 September Attacks,Counterculture Of The 1960S,Directed,2861,,1,,0
11 September Attacks,Democratic Party (United States),Directed,2862,,1,,0
11 September Attacks,Donald Trump,Directed,2863,,1,,0
11 September Attacks,Egyptair Flight 990,Directed,2864,,1,,0
11 September Attacks,Founding Fathers Of The United States,Directed,2865,,1,,0
11 September Attacks,Garrett Graff,Directed,2866,,1,,0
11 September Attacks,George W. Bush,Directed,2867,,1,,0
11 September Attacks,History Of The United States,Directed,2868,,1,,0
11 September Attacks,International Jewish Conspiracy,Directed,2869,,1,,0
Fasciablaster,2012 Phenomenon,Directed,2870,,1,,
Fasciablaster,5G,Directed,2871,,1,,
Fasciablaster,9/11 Conspiracy Theories,Directed,2872,,1,,
Martin Luther King Jr. Assassination Conspiracy Theories,10 Agorot Controversy,Directed,2873,,1,,
Martin Luther King Jr. Assassination Conspiracy Theories,1321 Lepers' Plot,Directed,2874,,1,,
Martin Luther King Jr. Assassination Conspiracy Theories,1923 Great Kantō Earthquake,Directed,2875,,1,,
Martin Luther King Jr. Assassination Conspiracy Theories,1951 Pont-Saint-Esprit Mass Poisoning,Directed,2876,,1,,
Martin Luther King Jr. Assassination Conspiracy Theories,1967 British Flying Saucer Hoax,Directed,2877,,1,,
Martin Luther King Jr. Assassination Conspiracy Theories,1986 Mozambican Tupolev Tu-134 Crash,Directed,2878,,1,,
Martin Luther King Jr. Assassination Conspiracy Theories,2012 Phenomenon,Directed,2879,,1,,
Martin Luther King Jr. Assassination Conspiracy Theories,2016 Turkish Coup D'État Attempt,Directed,2880,,1,,
Martin Luther King Jr. Assassination Conspiracy Theories,2021 Maricopa County Presidential Ballot Audit,Directed,2881,,1,,
Voice Stress Analysis,2012 Phenomenon,Directed,2882,,1,,
Voice Stress Analysis,5G,Directed,2883,,1,,
Voice Stress Analysis,9/11 Conspiracy Theories,Directed,2884,,1,,
Voice Stress Analysis,Acupuncture,Directed,2885,,1,,
Voice Stress Analysis,Adrenal Fatigue,Directed,2886,,1,,
Voice Stress Analysis,Alternative Medicine,Directed,2887,,1,,
Voice Stress Analysis,"An Encyclopedia Of Claims, Frauds, And Hoaxes Of The Occult And Supernatural",Directed,2888,,1,,
Voice Stress Analysis,Ancient Astronauts,Directed,2889,,1,,
Voice Stress Analysis,Andrew Wakefield,Directed,2890,,1,,
Voice Stress Analysis,Anthroposophic Medicine,Directed,2891,,1,,
Voice Stress Analysis,Anti-Gravity,Directed,2892,,1,,
Voice Stress Analysis,Applied Kinesiology,Directed,2893,,1,,
Voice Stress Analysis,Aquatic Ape Hypothesis,Directed,2894,,1,,
Voice Stress Analysis,Aromatherapy,Directed,2895,,1,,
Voice Stress Analysis,Aryan Race,Directed,2896,,1,,
Voice Stress Analysis,Astrology,Directed,2897,,1,,
Voice Stress Analysis,Auditing (Scientology),Directed,2898,,1,,
Voice Stress Analysis,Ayurveda,Directed,2899,,1,,
Voice Stress Analysis,Bates Method,Directed,2900,,1,,
Voice Stress Analysis,Biodynamic Agriculture,Directed,2901,,1,,
Voice Stress Analysis,Biological Transmutation,Directed,2902,,1,,
Voice Stress Analysis,Biorhythm (Pseudoscience),Directed,2903,,1,,
Voice Stress Analysis,Bloodletting,Directed,2904,,1,,
Voice Stress Analysis,Body Memory,Directed,2905,,1,,
Voice Stress Analysis,Bogdanov Affair,Directed,2906,,1,,
Voice Stress Analysis,Bourgeois Pseudoscience,Directed,2907,,1,,
